sourceID	source	source_desc	change_date	changer	link_note	links
AZ146	Barnstable, MA, Licenses of vessels above 20 tons, 1841	Bureau of Customs. Barnstable, MA, Licenses of vessels above 20 tons, 1841. RG 36. National Archives and Records Administration, Northeast Region, Waltham, MA.	2019-01-05			
AZ147	Abstract of American Vessels entering in the District of Gloucester	Bureau of Customs. Abstract of American Vessels entering in the District of Gloucester from Foreign Countries. RG 36. National Archives and Records Administration, Northeast Region, Waltham, MA.	2019-01-05			
AZ148	Bodfish. Logbook of the Steam Barkentine Newport	Bodfish, Hartson Hartlett. Logbook of the Steam Barkentine Newport, 1893-1896. New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			
AZ149	Bodfish. Logbook of Steam Barkentine Newport	Bodfish, Hartson Hartlett. 'List of vessels spoke by Steam Barkentine Newport, 1893-96.' Logbook of Steam Barkentine Newport, 1893-1896, New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			
AZ150	Manifests of Whaling Voyages	Manifests of Whaling Voyages. Genealogy Room, New Bedford Free Public Library, New Bedford, MA. Card File.	2019-01-05			
AZ151	Hegarty. Captains	[Hegarty, Reginald B.] Captains. Genealogy Room, New Bedford Free Public Library, New Bedford, MA. Card file.	2019-01-05			
AZ152	Hegarty. Mates	[Hegarty, Reginald B.] Mates. Genealogy Room, New Bedford Free Public Library, New Bedford, MA. Card file.	2019-01-05			
AZ153	Certificates of Registry, Enrollment and License Issued at Edgartown, Mass.	Bureau of Customs. Certificates of Registry, Enrollment and License Issued at Edgartown, Mass. 1815-1913. New Bedford Free Public Library, New Bedford, MA. Microfilm.	2019-01-05			
AZ154	Northeast Auctions. Auction Catalog	Auction Catalog. Portsmouth, NH: Northeast Auctions, August 21 and 22, 1999.	2019-01-05			
AZ155	Robert C. Eldred & Co. Auction Catalog	Auction Catalog. East Dennis, MA: Robert C. Eldred & Co., Inc., July 30, 1999.	2019-01-05			
AZ156	Rafael Osona Auctions. Auction Catalog	Auction Catalog. Nantucket, MA: Rafael Osona Auctions, Inc., August 7, 1999.	2021-08-31			
AZ157	Simpson and Simpson. Whaling on the North Carolina Coast	Simpson, Marcus B., Jr. and Sallie W. Simpson. Whaling on the North Carolina Coast. Raleigh, NC: Division of Archives and History, North Carolina Department of Cultural Resources, 1990.	2019-01-05			
AZ158	Bullard. Captain Edmund Gardner of Nantucket and New Bedford	Bullard, John M. Captain Edmund Gardner of Nantucket and New Bedford: His Journal and His Family. New Bedford, MA: by the author, 1958.	2019-01-05			
AZ159	Ship Registers, District of Boston, vol. 1 1831-40	Works Progress Administration. Alphabetical list of Ship Registers, District of Boston, vol. 1 1831-40. Boston: National Archives Project, 1939.	2019-01-05			
AZ160	Ship Registers, District of Boston, vol. 2 1841-50	Works Progress Administration. Alphabetical list of Ship Registers, District of Boston, vol. 2 1841-50. Boston: National Archives Project, 1939.	2019-01-05			
AZ161	Bowers, Jane	Bowers, Jane. Registrar, The Kendall Whaling Museum, Sharon, MA. Personal communication.	2019-01-05			
AZ162	Stackpole, Renny A.	Stackpole, Renny A. Director, Penobscot Marine Museum, Searsport, ME. Personal communication.	2019-01-05			
AZ163	Logbook, Schooner Crown Point	Logbook, Schooner Crown Point, 1880-1881, 1882-1883. Pilgrim Monument & Provincetown Museum, Provincetown, MA.	2019-01-05			
AZ164	Account Book, Schooner D. C. Smith	Account Book, Schooner D. C. Smith and owners with John Atwood, Jr. & Co., March 2, 1867 to November 25, 1868. Pilgrim Monument & Provincetown Museum, Provincetown, MA.	2019-01-05			
AZ165	Dunham. Account book. Schooner William A. Grozier	Dunham, John A. Account book. Schooner William A. Grozier, voyages of 1898 and 1899. Pilgrim Monument & Provincetown Museum, Provincetown, MA.	2019-01-05			
AZ166	Pilgrim Monument & Provincetown Museum. Scrapbook 5	Newspaper clippings, unidentified newspapers. N.d., Pilgrim Monument & Provincetown Museum, Provincetown, MA. Scrapbook 5.	2019-01-05			
AZ167	Shoemaker. Ships Logs and Captains’ Diaries of Old Cape Cod	Shoemaker, Elizabeth ed. Ships Logs and Captains’ Diaries of Old Cape Cod. N.p.: Cape Cod Chamber of Commerce, 1937.	2019-01-05			
AZ168	Jones. Ships of Kingston	Jones, Henry M. Ships of Kingston. Plymouth, MA: The Memorial Press, 1926.	2019-01-05			
AZ169	List of Shipping owned in Sag Harbor 1839	'List of Shipping owned in Sag Harbor 1839.' Sag Harbor Whaling and Historical Museum, Sag Harbor, NY. Manuscript list on exhibit.	2021-08-31			
AZ170	Looking them over	'Looking them over.' East Hampton, [NY] Star, November 11, 1954.	2021-08-31			
AZ171	Crew lists of vessels owned by Charles T. Dering of Sag Harbor	'Crew lists of vessels owned by Charles T. Dering of Sag Harbor, 1828-1855.' East Hampton Library, East Hampton, NY. Manuscript.	2021-08-31			
AZ172	Whaling Days in Poughkeepsie	'Whaling Days in Poughkeepsie.' [Poughkeepsie, NY.] Thrift Messenger, XIV (October 3, 1935).	2021-08-31			
AZ173	Recollections of By-Gone Days	'Recollections of By-Gone Days.' Sag Harbor [NY] Express, hand dated April 24, 1884.	2021-08-31			
AZ174	Notes on Long Island Whaling Vessels Printed in The Friend 1848 and 1849	'Notes on Long Island Whaling Vessels Printed in The Friend 1848 and 1849.' Typewritten list inside the bound volume of The Friend, Honolulu, 1854-55, East Hampton Library, East Hampton, NY.	2021-08-31			
AZ175	Whaleship Arrivals, Sag Harbor and Greenport	'Whaleship Arrivals, Sag Harbor and Greenport.' East Hampton Library, East Hampton, NY. Manuscript notebook, (x) BG 24.	2021-08-31			
AZ176	List of Whaleships belonging to the U. S. January 1, 1838	List of Whaleships belonging to the U. S. January 1, 1838. East Hampton Library, East Hampton, NY.	2019-01-05			
AZ177	Dayton, Diana and Dorothy King	Dayton, Diana and Dorothy King. East Hampton Library, East Hampton, NY. Personal communication.	2019-01-05			
AZ178	List of Whalers Sailing from Sag-Harbor in 1846	'List of Whalers Sailing from Sag-Harbor in 1846.' Sea Side Times, hand dated February 28, 1889. East Hampton Library, East Hampton, NY.	2021-08-31			
AZ179	Ships' Passports on exhibit	Ships' Passports on exhibit. Sag Harbor Whaling and Historical Museum, Sag Harbor, NY.	2019-01-05			
AZ180	Hazard. Whaling Notes: Captains from Sag Harbor and Surrounding Eastern Long Island	Hazard, Russella J. Whaling Notes: Captains from Sag Harbor and Surrounding Eastern Long Island registered at the Custom House Office 1790-1871. July 25, 1958. John Jermain Library, Sag Harbor, NY. Manuscript.	2019-01-05			
AZ181	Druet. Long Island Whaling Captains	Druett, Joan. 'Long Island Whaling Captains.' John Jermain Library, Sag Harbor, NY. n.d. Typewritten list.	2019-01-05			
AZ182	Jonas Winters Whaling Captain	'Jonas Winters Whaling Captain.' Sag Harbor, New York Express, February 7, 1952.	2021-08-31			
AZ183	Captain White Recalls Old Whaling Days	'Captain White Recalls Old Whaling Days.' John Jermain Library, Sag Harbor, NY. Scrapbook A. Undated clipping from unidentified newspaper.	2021-08-31			
AZ184	Hazard. Whaling Notes: Crew lists from various voyages	Hazard, Russella J. Whaling Notes: Crew lists from various voyages as copied from period newspaper articles. n.d. John Jermain Library, Sag Harbor, NY. Typewritten notes.	2019-01-05			
AZ185	Hazard. Ships and Shipping from the Port of Sag Harbor 1797-1864	Hazard, Russella J. [probably]. Ships and Shipping from the Port of Sag Harbor 1797-1864 gathered from newspapers published in Sag Harbor. n.d. John Jermain Library, Sag Harbor, NY. Typewritten list.	2019-01-05			
AZ186	Captains who sailed out of Sag Harbor but who lived elsewhere	'Captains who sailed out of Sag Harbor but who lived elsewhere.' John Jermain Library, Sag Harbor, NY, n.d. Typewritten list.	2021-08-31			
AZ187	Hain. Woods Hole Whaling	Hain, James. 'Woods Hole Whaling.' Woods Hole Reflections, M. L. Smith, ed. Woods Hole Historical Collection, 1983.	2019-01-05			
AZ188	Ships' Papers, Agent Joseph T. Edwards, Bills and Receipts.	Ships' Papers, Agent Joseph T. Edwards, Bills and Receipts. New Bedford Whaling Museum Research Library, MSS 83.	2025-01-16	dtc		https://www.whalingmuseum.org/research/research-resources/manuscripts/mss-83/
AZ189	Winsor. History of the Town of Duxbury	Winsor, Justin. History of the Town of Duxbury with Genealogical Registers. Boston: Crosby & Nichols, Washington Street; Samuel G. Drake, Cornhill, John Putnam, Printer, 1849. Reprinted Boston: Goodspeed's Book Shop, Inc., 1985.	2019-01-05			
AZ190	Register of Seamen shipped Fall of 1869 in vessels bound for New Bedford	Register of Seamen shipped Fall of 1869 in vessels bound for New Bedford. n.d. Misc volume 019, Nicholson Collection, Providence Public Library, Providence, RI. Manuscript.	2019-01-05			
AZ191	A Newport Whaling Master	'A Newport Whaling Master.' Newport [RI] Mercury, weeks ending April 19, April 26, May 3, May 10, 1884 bound together, Nicholson Collection, Providence Public Library, Providence, RI.	2021-08-31			
AZ192	Balch. Stonington Antarctic Explorers	Balch, Edwin Swift. 'Stonington Antarctic Explorers.' Bulletin of the American Geographical Society XLI (August, 1909).	2019-01-05			https://www.jstor.org/stable/200554
AZ193	Balch. Antarctica Addenda	Balch, Edwin Swift. Antarctica Addenda. Philadelphia: Franklin Institute of the State of Pennsylvania, 1904.	2019-01-05			
AZ194	Whalers out of Mystic	Whalers out of Mystic. Information Bulletin 69-3. G. W. Blunt White Library, Mystic, CT: Marine Historical Association, n.d.	2019-01-05			
AZ195	Dyer, Michael	Dyer, Michael. Librarian, New Bedford Whaling Museum Research Library. Personal communication.	2019-01-05			
AZ196	Wall. A Brief History of the Whaling Industry in New London	Wall, Richard B. A Brief History of the Whaling Industry in New London. New London, CT: The Mariners Savings Bank, n.d.	2019-01-05			
AZ197	Crew Lists for Schooner Alcyone	Crew Lists for Schooner Alcyone. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ198	Whaling Masters	Works Progress Administration. Whaling Masters: Voyages 1731-1925. New Bedford, MA: Old Dartmouth Historical Society, 1938. Copy formerly owned and annotated by Charles Sayle, currently owned by George D. Bryant.	2019-01-05			https://hdl.handle.net/2027/uc1.$b25850
AZ199	The San Francisco Fleet this Year	'The San Francisco Fleet this Year.' New Bedford [MA] Daily Mercury, April 17, 1888.	2021-08-31			
AZ200	Provincetown, MA, Records relating to Engagement and Discharge of Seamen 1872-1905	Bureau of Marine Inspection and Navigation. Provincetown, MA, Records relating to Engagement and Discharge of Seamen, Shipping Articles, 1872-1905. RG 41. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ201	Sag Harbor, NY, Register of Bonds and Oaths, 1849-1868	Bureau of Marine Inspection and Navigation, Sag Harbor, NY, Register of Bonds and Oaths, 1849-1868. RG 41. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ202	Sag Harbor, NY, Register of Bonds and Oaths, 1838-1849	Bureau of Marine Inspection and Navigation. Sag Harbor, NY, Register of Bonds and Oaths, 1838-1849. RG 41. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ203	Sag Harbor, NY, Register Bonds over 20 Tons, 1869-71, 1910	Bureau of Marine Inspection and Navigation. Sag Harbor, NY, Register Bonds over 20 Tons, 1869-71, 1910. RG 41. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ204	Greenport, NY, Register of Bonds and Oaths, 1855-April 8, 1875	Bureau of Marine Inspection and Navigation. Greenport, NY, Register of Bonds and Oaths, 1855-April 8, 1875. RG 41. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ205	Sag Harbor, NY, Register Certificates, 1815-1844	Bureau of Marine Inspection and Navigation. Sag Harbor, NY, Register Certificates, 1815-1844 with some later notes added. RG 41. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ206	Druett, Joan	Druett, Joan. Personal communication.	2019-01-05			
AZ207	Ships’ Papers. Brig Eunice H. Adams	Ships’ Papers. Brig Eunice H. Adams. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ208	Rafael Osona Auctions. Auction Catalog	Auction Catalog. Nantucket, MA: Rafael Osona Auctions, Inc., August 16, 1997.	2021-08-31			
AZ209	Webb. On the Northwest Coast	Webb, Robert Lloyd. On the Northwest Coast: Commercial Whaling in the Pacific Northwest 1790-1967. Vancouver, BC: University of British Columbia Press, 1988.	2019-01-05			
AZ210	Vessel departures, masters, agents, New Bedford and Westport 1862-76	'Vessel departures, masters, agents, New Bedford and Westport 1862-76.' Nicholson Collection, Providence Public Library, Providence, RI. Manuscript list.	2021-08-31			
AZ211	Spears. The Story of New England Whalers	Spears, John R. The Story of New England Whalers. New York: The Macmillan Company, 1922.	2021-08-31		1910 edition	https://archive.org/details/storyofnewenglan00spearich
AZ212	Ripley. Contract with Samuel Osborn & Sons, January 24, 1883	Ripley, Edward S. Contract with Samuel Osborn & Sons, January 24, 1883. Nicholson Collection, Providence Public Library, Providence, RI. Manuscript.	2019-01-05			
AZ213	Ships' Papers. Schooner E. H. Hatfield	Ships' Papers. Schooner E. H. Hatfield. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ214	Dunbabin. New Light on the Earliest Voyages to Australia	Dunbabin, Thomas. 'New Light on the Earliest Voyages to Australia.' The American Neptune, X:1 (January, 1950).	2019-01-05			
AZ215	Schmitt, De Jong, and Winter. Thomas Welcome Roys: America's Pioneer of Modern Whaling	Schmitt, Frederick P., Cornelis De Jong, and Frank H. Winter. Thomas Welcome Roys: America's Pioneer of Modern Whaling. Charlottesville, VA: University Press of Virginia for the Mariners Museum, Newport News, Virginia, 1980.	2019-01-05			
AZ216	Ships' Papers. Schooner E. H. Hatfield	Ships' Papers. Schooner E. H. Hatfield. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ217	Barnstable, MA, Whalemen's Shipping Articles 1849, 1866-71	Bureau of Customs. Barnstable, MA, Whalemen's Shipping Articles 1849, 1866-71. RG 36. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ218	Barnstable, MA, Crew Lists 1889-1909	Bureau of Customs. Barnstable, MA, Crew Lists 1889-1909. RG 36. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ219	Barnstable, MA, Crew Lists 1839-1846	Bureau of Customs. Barnstable, MA, Crew Lists 1839-1846. RG 36. National Archives and Records Administration, Washington, DC.	2019-01-05			
AZ220	Logbook of the Schooner Arthur Clifford, 1867-1867	Logbook of the Schooner Arthur Clifford, 1867-1867. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			https://archive.org/details/logbookofarthurc00arth
AZ221	Freeman. Logbook of the Schooner E. H. Hatfield, 1878	Freeman, H. Y. Logbook of the Schooner E. H. Hatfield, 1878. Nicholson Collection. Providence Public Library, Providence, RI.	2019-01-05			https://archive.org/details/logbookofehhatfi00ehha_0
AZ222	Richards, Rhys	Richards, Rhys. Personal communication.	2019-01-05			
AZ223	Newport's Whale Fishery	'Newport's Whale Fishery.' Newport Historical Society, Newport, RI. George H. Richardson Scrapbook 97. Unidentified newspaper, hand dated 1880.	2021-08-31			
AZ224	Newport Historical Society. Library Collection Card File	Library Collection Card File. Newport Historical Society, Newport, RI.	2021-08-31			
AZ225	Marine Reports. Newport [RI] Mercury, February 19, 1820.	'Marine Reports.' Newport [RI] Mercury, February 19, 1820.	2021-08-31			
AZ226	Marine Reports. Newport [RI] Mercury, November 1, 1817.	'Marine Reports.' Newport [RI] Mercury, November 1, 1817.	2021-08-31			
AZ227	Marine Reports. Newport [RI] Mercury, March 30, 1822.	'Marine Reports.' Newport [RI] Mercury, March 30, 1822.	2021-08-31			
AZ228	Cook, Cook, McIntyre, and McIntyre. Provincetown Massachusetts Cemetery Inscriptions	Cook, Lurana Higgins, Hugh Francis Cook, Anne Gleason McIntyre, and John Steward McIntyre. Provincetown Massachusetts Cemetery Inscriptions. Bowie, MD: Heritage Books, Inc., 1980.	2019-01-05			
AZ229	TiltonA. Logbook of the Schooner Arthur V. S. Woodruff, 1910-1917	Tilton, James A. Logbook of the Schooner Arthur V. S. Woodruff, 1910-1917. New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			
AZ230	Fleming, Jeff	Fleming, Jeff. Personal communication.	2019-01-05			
AZ231	Williams. One Whaling Family	Williams, Harold ed. One Whaling Family. Boston, MA: Houghton Mifflin Company, 1964.	2019-01-05			
AZ232	Ships' Papers, Schooner Hattie E. Smith	Ships' Papers, Schooner Hattie E. Smith. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ233	Butler. Arrivals and Departures of Vessels from New Bedford, 1792 -1805	Butler, Martin J. Arrivals and Departures of Vessels from New Bedford copied from the Columbian Courier [New Bedford, MA] 1792 -1805.	2019-01-05			
AZ234	Butler. Arrivals and Departures of Vessels from New Bedford, 1807 -1822	Butler, Martin J. Arrivals and Departures of Vessels from New Bedford copied from the New Bedford [MA] Weekly Mercury, 1807 -1822.	2019-01-05			
AZ235	Providence Public Library. Wilbur Collection	Wilbur, Charles Henry Collection. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ236	Harding, Atkins, and Rich. Overseers, Town of Truro. Indenture. 29 September 1790	Harding, Ephraim, Nathaniel Atkins, and Jesse Rich. Overseers, Town of Truro. Indenture. 29 September 1790. Kendall Collection, New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			
AZ237	Lovell. Sandwich A Cape Cod Town	Lovell, Russell A., Jr. Sandwich A Cape Cod Town. Sandwich, MA: Town of Sandwich, Massachusetts, 1996.	2019-01-05			
AZ238	New London, CT, Crew lists January 7, 1818 - December 25, 1821	Bureau of Customs. New London, CT. Crew lists January 7, 1818 - December 25, 1821 includes loose papers for Julius Caesar, 1851 voyage. New London Maritime Society Custom House Museum, New London, CT.	2019-01-05			
AZ239	Little. The Indian Contribution to Along-shore Whaling at Nantucket	Little, Elizabeth A. The Indian Contribution to Along-shore Whaling at Nantucket. Nantucket Algonquian Studies #8. Nantucket, MA: Nantucket Historical Association, 1981.	2019-01-05			
AZ240	Philbrick. In the Heart of the Sea	Philbrick, Nathaniel. In the Heart of the Sea: The Tragedy of the Whaleship Essex. New York, NY: Viking Penguin, 2000.	2019-01-05			
AZ241	Ships' Papers. Ship Parachute	Ships' Papers. Ship Parachute. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ242	Ships' Papers. Schooner Thomas Hunt	Ships' Papers. Schooner Thomas Hunt. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ243	Ships' Papers. Ship Charles Phelps	Ships' Papers. Ship Charles Phelps. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ244	Scrapbook Volume 3. Long Island Material, Mostly Whaling 1819-1881	Scrapbook Volume 3. 'Long Island Material, Mostly Whaling 1819-1881.' Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ245	Francis, Robert	Francis, Robert. Personal communication.	2019-01-05			
AZ246	Robert C. Eldred & Co. Auction Catalog	Auction Catalog. East Dennis, MA: Robert C. Eldred & Co., Inc., July 28, 2000.	2019-01-05			
AZ247	Providence Public Library. Wilbur Collection	Wilbur, Charles Henry Collection. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ248	New Balance Orders, 1876	'New Balance Orders, 1876.' Notebook containing crew lists clipped from newspapers for vessels departing New Bedford 1877-1880. Nicholson Collection, Providence Public Library, Providence, RI.	2021-08-31			
AZ249	Hare. Salted Tories: The Story of the Whaling Fleets of San Francisco	Hare, Lloyd C. M. Salted Tories: The Story of the Whaling Fleets of San Francisco. Mystic, CT: The Marine Historical Association, Inc., 1960.	2019-01-05			
AZ250	Crew Lists of Whaleships. Ships R-Z, Miscellaneous years	Crew Lists of Whaleships. Ships R-Z, Miscellaneous years. National Archives and Records Administration, Washington, D. C. New Bedford Free Public Library microfilm reel 178.	2019-01-05			
AZ251	Weeks. Ship Charles Phelps of Stonington	Weeks, J. [ames] H., Jr. Ship Charles Phelps of Stonington. Manuscript Notebook, c. 1899. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ252	Ships' Papers. Schooner Charles Shearer	Ships' Papers. Schooner Charles Shearer. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ253	Crew Lists of Whaleships. Various ships, 1811-1817	Crew Lists of Whaleships. Various ships, 1811-1817. New Bedford Free Public Library Publication. New Bedford Public Library microfilm reel 175A.	2025-01-16	dtc		https://www.whalingmuseum.org/research/research-resources/manuscripts/mss-79/
AZ254	Crew Lists of Whaleships. Ships A-G, 1818-1832	Crew Lists of Whaleships. Ships A-G, 1818-1832. National Archives and Records Administration, Washington, D. C. New Bedford Free Public Library microfilm reel 166.	2019-01-05			
AZ255	Crew Lists of Whaleships. Ships G-N, 1818-1832	Crew Lists of Whaleships. Ships G-N, 1818-1832. National Archives and Records Administration, Washington, D. C. New Bedford Free Public Library microfilm reel 167.	2019-01-05			
AZ256	Crew Lists of Whaleships. Ships N-Z, 1818-1832	Crew Lists of Whaleships. Ships N-Z, 1818-1832. National Archives and Records Administration, Washington, D. C. New Bedford Free Public Library microfilm reel 168.	2019-01-05			
AZ257	Crew Lists of Whaleships. Ships A-Z, 1844-1890	Crew Lists of Whaleships. Ships A-Z, 1844-1890, Miscellaneous lists. National Archives and Records Administration, Washington, D. C. New Bedford Free Public Library microfilm reel 169.	2019-01-05			
AZ258	Crew Lists of Whaleships. Ships A-Q, Miscellaneous years	Crew Lists of Whaleships. Ships A-Q, Miscellaneous years. National Archives and Records Administration, Washington, D. C. New Bedford Free Public Library microfilm reel 176.	2019-01-05			
AZ259	Crew Lists of Whaleships. Ships F, J, K, L, 1840-1860, 1866	Crew Lists of Whaleships. Ships F, J, K, L, 1840-1860, 1866. New Bedford Free Public Library Publication. New Bedford Free Public Library microfilm reel 182.	2019-01-05			
AZ260	Crew Lists of Whaleships. Ships M, O, V, W-Z, 1840-1860, 1866	Crew Lists of Whaleships. Ships M, O, V, W-Z, 1840-1860, 1866. New Bedford Free Public Library Publication. New Bedford Free Public Library microfilm reel 184.	2019-01-05			
AZ261	Crew Lists of Whaleships. Ships P-S, 1840-1860, 1866	Crew Lists of Whaleships. Ships P-S, 1840-1860, 1866. New Bedford Free Public Library Publication. New Bedford Free Public Library microfilm reel 185.	2019-01-05			
AZ262	Shipping Papers and Crew Lists; index of holdings of the New Bedford Free Public Library	Shipping Papers and Crew Lists; index of holdings of the New Bedford Free Public Library. Special Collections, New Bedford Free Public Library, New Bedford, MA.	2019-01-05			
AZ263	Richards. Honolulu Shipping Arrivals and Departures 1820-1840	Richards, Rhys. Honolulu: Centre of Trans-Pacific Trade: Shipping Arrivals and Departures 1820-1840. Canberra, Australia: Pacific Manuscripts Bureau and Honolulu, HI: Hawaiian Historical Society, 2000.	2019-01-05			
AZ264	Long. Logbooks of Ship Foster, 1822-1841	Long, Josiah C. Logbooks of Ship Foster, 1822-1841. Kendall Collection, New Bedford Whaling Museum Research Library, New Bedford, MA.	2019-01-05			
AZ265	Bristol, RI Gazette and Home Companion, May 16, 1835.	Bristol, RI Gazette and Home Companion, May 16, 1835.	2019-01-05			https://hdl.handle.net/2027/wu.89072990617
AZ266	Bristol, RI Gazette and Home Companion, April 19, 1834.	Bristol, RI Gazette and Home Companion, April 19, 1834.	2019-01-05			
AZ267	Whaling Masters	Works Progress Administration. Whaling Masters: Voyages 1731-1925. New Bedford, MA: Old Dartmouth Historical Society, 1938. Annotated copy owned by Patrick J. Slattery.	2019-01-05			https://hdl.handle.net/2027/uc1.$b25850
AZ268	Whaling Masters	Works Progress Administration. Whaling Masters: Voyages 1731-1925. New Bedford, MA: Old Dartmouth Historical Society, 1938. Annotated copy owned by Patrick J. Slattery, formerly owned by Ernest F. Gates, New London.	2019-01-05			https://hdl.handle.net/2027/uc1.$b25850
AZ269	Ships' Papers. Bark Robert Morrison	Ships' Papers. Bark Robert Morrison. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ270	Bureau of Customs. Bristol-Warren, RI, Mss 28	Bureau of Customs. Bristol-Warren, RI, Mss 28. Manuscripts Collection, Rhode Island Historical Society Library, Providence, RI.	2019-01-05			
AZ271	Bureau of Customs. Providence, RI, Mss 28	Bureau of Customs. Providence, RI, Mss 28. Manuscripts Collection, Rhode Island Historical Society Library, Providence, RI.	2019-01-05			
AZ272	Sotheby Parke Bernet. Auction Catalog	Auction Catalog. New York: Sotheby Parke Bernet Inc., The Barbara Johnson Whaling Collection: Part I, December 11 and 12, 1981.	2021-08-31			
AZ273	Swan Galleries. Auction Catalog	Auction Catalog. New York: Swan Galleries, Inc., The Barbara Johnson Collection: Part II, September 25, 1997.	2019-01-05			
AZ274	Replacement Masters	Replacement Masters. Special Collections, New Bedford Free Public Library, New Bedford, MA. Folder, Customs House Archival Box, uncataloged.	2019-01-05			
AZ275	Master's Oath on Entering a vessel	Master's Oath on Entering a vessel. Special Collections, New Bedford Free Public Library, New Bedford, MA. Folder, Archival Box, uncataloged.	2019-01-05			
AZ276	Oath of New Master of Vessel, 1884	Oath of New Master of Vessel, 1884. Special Collections, New Bedford Free Public Library, New Bedford, MA. Folder, Archival box, uncataloged.	2019-01-05			
AZ277	Oath of New Masters, 1870-1884	Oath of New Masters, 1870-1884. Special Collections, New Bedford Free Public Library, New Bedford, MA. Manuscript book, Archival box, uncataloged.	2019-01-05			
AZ278	Furtado, Tina	Furtado, Tina. Special Collections Librarian, New Bedford Free Public Library, New Bedford, MA. Personal communication.	2019-01-05			
AZ279	Ten Pound Island Book Company. Catalog 131	Catalog 131. Gloucester, MA: Ten Pound Island Book Company, December 15, 2000.	2019-01-05			
AZ280	Ships' Papers. Ship Europa	Ships' Papers. Ship Europa. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ281	Sherman. Correspondence with Jesse R. Ghen	Sherman, Stuart C. Correspondence with Jesse R. Ghen. Logbook correspondence file, Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ282	Sherman. Correspondence with Walter S. Briggs and Odaline Burr Simons Daniels	Sherman, Stuart C. Correspondence with Walter S. Briggs and with Odaline Burr Simons Daniels. Logbook correspondence file, Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ283	Sherman. Correspondence with Mrs. Laura E. Doolittle	Sherman, Stuart C. Correspondence with Mrs. Laura E. Doolittle. Logbook correspondence file, Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ284	Sherman. Correspondence with Mrs. Monterey L Holst	Sherman, Stuart C. Correspondence with Mrs. Monterey L Holst. Logbook correspondence file, Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ285	Sherman. Correspondence with Allen Knight	Sherman, Stuart C. Correspondence with Allen Knight. Logbook correspondence file, Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ286	Sherman. Correspondence with Edith C. Pitman	Sherman, Stuart C. Correspondence with Edith C. Pitman. Logbook correspondence file, Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ287	Sherman. Correspondence with William R. Pierce	Sherman, Stuart C. Correspondence with William R. Pierce. Sherman correspondence file, Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ288	Skinner. Auction Catalog	Auction Catalog. Bolton, MA: Skinner, Inc., October 28 and 29, 2000.	2019-01-05			
AZ289	Dering Whaling Correspondence	Dering Whaling Correspondence. Nicholson Collection, Providence Public Library, Providence, RI.	2019-01-05			
AZ290	Edwards and Rattray. Whale Off! The Story of American Shore Whaling	Edwards, Everett J. and Jeannette Edwards Rattray. Whale Off! The Story of American Shore Whaling. 1932, reprinted New York: Coward, McCann, Inc., 1956.	2019-01-05			
AZ291	Hodgkinson. Eber Bunker of Liverpool	Hodgkinson, R. Eber Bunker of Liverpool: The Father of Australian Whaling. Roebuck Society Publication No. 15. Fyshwick, Australia: [Roebuck Society], 1975.	2019-01-05			
